Unique_Patient_Identifier	gene	copy
TCGA-W5-AA34	AADACL4	del
TCGA-W5-AA34	AADACL3	del
TCGA-W5-AA34	PRAMEF12	del
TCGA-W5-AA34	PRAMEF1	del
TCGA-W5-AA34	PRAMEF11	del
TCGA-W5-AA34	HNRNPCL1	del
TCGA-W5-AA34	PRAMEF2	del
TCGA-W5-AA34	PRAMEF4	del
TCGA-W5-AA34	PRAMEF10	del
TCGA-W5-AA34	PRAMEF7	del
TCGA-W5-AA34	PRAMEF6	del
TCGA-W5-AA34	PRAMEF27	del
TCGA-W5-AA34	HNRNPCL3	del
TCGA-W5-AA34	PRAMEF25	del
TCGA-W5-AA34	HNRNPCL2	del
TCGA-W5-AA34	PRAMEF26	del
TCGA-W5-AA34	HNRNPCL4	del
TCGA-W5-AA34	PRAMEF9	del
TCGA-W5-AA34	PRAMEF13	del
TCGA-W5-AA34	PRAMEF18	del
TCGA-W5-AA34	PRAMEF5	del
TCGA-W5-AA34	PRAMEF8	del
TCGA-W5-AA34	PRAMEF33	del
TCGA-W5-AA34	PRAMEF15	del
TCGA-W5-AA34	PRAMEF14	del
TCGA-W5-AA34	PRAMEF19	del
TCGA-W5-AA34	PRAMEF17	del
TCGA-W5-AA34	PRAMEF20	del
TCGA-W5-AA34	LRRC38	del
TCGA-W5-AA34	PDPN	del
TCGA-W5-AA34	PRDM2	del
TCGA-W5-AA34	KAZN	del
TCGA-W5-AA34	TMEM51	del
TCGA-W5-AA34	FHAD1	del
TCGA-W5-AA34	EFHD2	del
TCGA-W5-AA34	CTRC	del
TCGA-W5-AA34	CELA2A	del
TCGA-W5-AA34	CELA2B	del
TCGA-W5-AA34	CASP9	del
TCGA-W5-AA34	DNAJC16	del
TCGA-W5-AA34	AGMAT	del
TCGA-W5-AA34	DDI2	del
TCGA-W5-AA34	RSC1A1	del
TCGA-W5-AA34	PLEKHM2	del
TCGA-W5-AA34	SLC25A34	del
TCGA-W5-AA34	TMEM82	del
TCGA-W5-AA34	FBLIM1	del
TCGA-W5-AA34	UQCRHL	del
TCGA-W5-AA34	SPEN	del
TCGA-W5-AA34	ZBTB17	del
TCGA-W5-AA34	SRARP	del
TCGA-W5-AA34	HSPB7	del
TCGA-W5-AA34	CLCNKA	del
TCGA-W5-AA34	CLCNKB	del
TCGA-W5-AA34	FAM131C	del
TCGA-W5-AA34	EPHA2	del
TCGA-W5-AA34	ARHGEF19	del
TCGA-W5-AA34	CPLANE2	del
TCGA-W5-AA34	FBXO42	del
TCGA-W5-AA34	SZRD1	del
TCGA-W5-AA34	SPATA21	del
TCGA-W5-AA34	NECAP2	del
TCGA-W5-AA34	NBPF1	del
TCGA-W5-AA34	CROCC	del
TCGA-W5-AA34	MFAP2	del
TCGA-W5-AA34	ATP13A2	del
TCGA-W5-AA34	SDHB	del
TCGA-W5-AA34	PADI2	del
TCGA-W5-AA34	PADI1	del
TCGA-W5-AA34	PADI3	del
TCGA-W5-AA34	PADI4	del
TCGA-W5-AA34	PADI6	del
TCGA-W5-AA34	RCC2	del
TCGA-W5-AA34	ARHGEF10L	del
TCGA-W5-AA34	ACTL8	del
TCGA-W5-AA34	IGSF21	del
TCGA-W5-AA34	KLHDC7A	del
TCGA-W5-AA34	PAX7	del
TCGA-W5-AA34	TAS1R2	del
TCGA-W5-AA34	ALDH4A1	del
TCGA-W5-AA34	IFFO2	del
TCGA-W5-AA34	UBR4	del
TCGA-W5-AA34	EMC1	del
TCGA-W5-AA34	MRTO4	del
TCGA-W5-AA34	AKR7A3	del
TCGA-W5-AA34	AKR7A2	del
TCGA-W5-AA34	SLC66A1	del
TCGA-W5-AA34	CAPZB	del
TCGA-W5-AA34	MICOS10	del
TCGA-W5-AA34	NBL1	del
TCGA-W5-AA34	HTR6	del
TCGA-W5-AA34	TMCO4	del
TCGA-W5-AA34	RNF186	del
TCGA-W5-AA34	OTUD3	del
TCGA-W5-AA34	PLA2G2E	del
TCGA-W5-AA34	PLA2G2A	del
TCGA-W5-AA34	PLA2G5	del
TCGA-W5-AA34	PLA2G2D	del
TCGA-W5-AA34	PLA2G2F	del
TCGA-W5-AA34	PLA2G2C	del
TCGA-W5-AA34	UBXN10	del
TCGA-W5-AA34	VWA5B1	del
TCGA-W5-AA34	CAMK2N1	del
TCGA-W5-AA34	MUL1	del
TCGA-W5-AA34	FAM43B	del
TCGA-W5-AA34	CDA	del
TCGA-W5-AA34	PINK1	del
TCGA-W5-AA34	DDOST	del
TCGA-W5-AA34	KIF17	del
TCGA-W5-AA34	SH2D5	del
TCGA-W5-AA34	HP1BP3	del
TCGA-W5-AA34	EIF4G3	del
TCGA-W5-AA34	ECE1	del
TCGA-W5-AA34	NBPF3	del
TCGA-W5-AA34	ALPL	del
TCGA-W5-AA34	RAP1GAP	del
TCGA-W5-AA34	USP48	del
TCGA-W5-AA34	LDLRAD2	del
TCGA-W5-AA34	HSPG2	del
TCGA-W5-AA34	CELA3B	del
TCGA-W5-AA34	CELA3A	del
TCGA-W5-AA34	CDC42	del
TCGA-W5-AA34	WNT4	del
TCGA-W5-AA34	ZBTB40	del
TCGA-W5-AA34	EPHA8	del
TCGA-W5-AA34	C1QA	del
TCGA-W5-AA34	C1QC	del
TCGA-W5-AA34	C1QB	del
TCGA-W5-AA34	EPHB2	del
TCGA-W5-AA34	LACTBL1	del
TCGA-W5-AA34	TEX46	del
TCGA-W5-AA34	KDM1A	del
TCGA-W5-AA34	LUZP1	del
TCGA-W5-AA34	HTR1D	del
TCGA-W5-AA34	HNRNPR	del
TCGA-W5-AA34	ZNF436	del
TCGA-W5-AA34	TCEA3	del
TCGA-W5-AA34	ASAP3	del
TCGA-W5-AA34	E2F2	del
TCGA-W5-AA34	ID3	del
TCGA-W5-AA34	RPL11	del
TCGA-W5-AA34	ELOA	del
TCGA-W5-AA34	PITHD1	del
TCGA-W5-AA34	LYPLA2	del
TCGA-W5-AA34	GALE	del
TCGA-W5-AA34	HMGCL	del
TCGA-W5-AA34	FUCA1	del
TCGA-W5-AA34	CNR2	del
TCGA-W5-AA34	PNRC2	del
TCGA-W5-AA34	SRSF10	del
TCGA-W5-AA34	MYOM3	del
TCGA-W5-AA34	IL22RA1	del
TCGA-W5-AA34	IFNLR1	del
TCGA-W5-AA34	GRHL3	del
TCGA-W5-AA34	STPG1	del
TCGA-W5-AA34	NIPAL3	del
TCGA-W5-AA34	RCAN3	del
TCGA-W5-AA34	NCMAP	del
TCGA-W5-AA34	SRRM1	del
TCGA-W5-AA34	CLIC4	del
TCGA-W5-AA34	RUNX3	del
TCGA-W5-AA34	SYF2	del
TCGA-W5-AA34	RSRP1	del
TCGA-W5-AA34	RHD	del
TCGA-W5-AA34	TMEM50A	del
TCGA-W5-AA34	RHCE	del
TCGA-W5-AA34	MACO1	del
TCGA-W5-AA34	LDLRAP1	del
TCGA-W5-AA34	MAN1C1	del
TCGA-W5-AA34	MTFR1L	del
TCGA-W5-AA34	AUNIP	del
TCGA-W5-AA34	PAQR7	del
TCGA-W5-AA34	STMN1	del
TCGA-W5-AA34	PAFAH2	del
TCGA-W5-AA34	EXTL1	del
TCGA-W5-AA34	SLC30A2	del
TCGA-W5-AA34	TRIM63	del
TCGA-W5-AA34	PDIK1L	del
TCGA-W5-AA34	FAM110D	del
TCGA-W5-AA34	C1orf232	del
TCGA-W5-AA34	ZNF593	del
TCGA-W5-AA34	CNKSR1	del
TCGA-W5-AA34	CATSPER4	del
TCGA-W5-AA34	CEP85	del
TCGA-W5-AA34	SH3BGRL3	del
TCGA-W5-AA34	UBXN11	del
TCGA-W5-AA34	CD52	del
