Unique_Patient_Identifier	gene	copy
TCGA-4G-AAZO	PTPRQ	neutral
TCGA-4G-AAZO	MYF6	neutral
TCGA-4G-AAZO	MYF5	neutral
TCGA-4G-AAZO	LIN7A	neutral
TCGA-4G-AAZO	ACSS3	neutral
TCGA-4G-AAZO	PPFIA2	neutral
TCGA-4G-AAZO	CCDC59	neutral
TCGA-4G-AAZO	METTL25	neutral
TCGA-4G-AAZO	TMTC2	neutral
TCGA-4G-AAZO	SLC6A15	neutral
TCGA-4G-AAZO	TSPAN19	neutral
TCGA-4G-AAZO	LRRIQ1	neutral
TCGA-4G-AAZO	ALX1	neutral
TCGA-4G-AAZO	RASSF9	neutral
TCGA-4G-AAZO	NTS	neutral
TCGA-4G-AAZO	MGAT4C	neutral
TCGA-4G-AAZO	C12orf50	neutral
TCGA-4G-AAZO	CEP290	neutral
TCGA-4G-AAZO	TMTC3	neutral
TCGA-4G-AAZO	KITLG	neutral
TCGA-4G-AAZO	DUSP6	neutral
TCGA-4G-AAZO	POC1B	neutral
TCGA-4G-AAZO	POC1B-GALNT4	neutral
TCGA-4G-AAZO	GALNT4	neutral
TCGA-4G-AAZO	ATP2B1	neutral
TCGA-4G-AAZO	CCER1	neutral
TCGA-4G-AAZO	EPYC	neutral
TCGA-4G-AAZO	KERA	del
TCGA-4G-AAZO	LUM	del
TCGA-4G-AAZO	DCN	del
TCGA-4G-AAZO	BTG1	del
TCGA-4G-AAZO	PLEKHG7	del
TCGA-4G-AAZO	EEA1	del
TCGA-4G-AAZO	NUDT4	del
TCGA-4G-AAZO	UBE2N	del
TCGA-4G-AAZO	MRPL42	del
TCGA-4G-AAZO	SOCS2	del
TCGA-4G-AAZO	CRADD	del
TCGA-4G-AAZO	PLXNC1	del
TCGA-4G-AAZO	CEP83	del
TCGA-4G-AAZO	TMCC3	del
TCGA-4G-AAZO	NDUFA12	del
TCGA-4G-AAZO	NR2C1	del
TCGA-4G-AAZO	FGD6	del
TCGA-4G-AAZO	VEZT	del
TCGA-4G-AAZO	METAP2	del
TCGA-4G-AAZO	USP44	del
TCGA-4G-AAZO	NTN4	del
TCGA-4G-AAZO	SNRPF	del
TCGA-4G-AAZO	CCDC38	del
TCGA-4G-AAZO	AMDHD1	del
TCGA-4G-AAZO	HAL	del
TCGA-4G-AAZO	LTA4H	del
TCGA-4G-AAZO	ELK3	del
TCGA-4G-AAZO	CDK17	del
TCGA-4G-AAZO	CFAP54	del
TCGA-4G-AAZO	NEDD1	del
TCGA-4G-AAZO	TMPO	del
TCGA-4G-AAZO	SLC25A3	del
TCGA-4G-AAZO	IKBIP	del
TCGA-4G-AAZO	APAF1	del
TCGA-4G-AAZO	ANKS1B	del
TCGA-4G-AAZO	ACTR6	del
TCGA-4G-AAZO	DEPDC4	del
TCGA-4G-AAZO	SCYL2	del
TCGA-4G-AAZO	SLC17A8	del
TCGA-4G-AAZO	NR1H4	del
TCGA-4G-AAZO	GAS2L3	del
TCGA-4G-AAZO	ANO4	del
TCGA-4G-AAZO	SLC5A8	del
TCGA-4G-AAZO	UTP20	del
TCGA-4G-AAZO	ARL1	del
TCGA-4G-AAZO	SPIC	del
TCGA-4G-AAZO	MYBPC1	del
TCGA-4G-AAZO	CHPT1	del
TCGA-4G-AAZO	SYCP3	del
TCGA-4G-AAZO	GNPTAB	del
TCGA-4G-AAZO	DRAM1	del
TCGA-4G-AAZO	WASHC3	del
TCGA-4G-AAZO	NUP37	del
TCGA-4G-AAZO	PARPBP	del
TCGA-4G-AAZO	PMCH	del
TCGA-4G-AAZO	IGF1	del
TCGA-4G-AAZO	PAH	del
TCGA-4G-AAZO	ASCL1	del
TCGA-4G-AAZO	C12orf42	del
TCGA-4G-AAZO	STAB2	del
TCGA-4G-AAZO	NT5DC3	del
TCGA-4G-AAZO	HSP90B1	del
TCGA-4G-AAZO	TDG	del
TCGA-4G-AAZO	GLT8D2	del
TCGA-4G-AAZO	HCFC2	del
TCGA-4G-AAZO	NFYB	del
TCGA-4G-AAZO	EID3	del
TCGA-4G-AAZO	CHST11	del
TCGA-4G-AAZO	SLC41A2	del
TCGA-4G-AAZO	ALDH1L2	del
TCGA-4G-AAZO	WASHC4	del
TCGA-4G-AAZO	APPL2	del
TCGA-4G-AAZO	C12orf75	del
TCGA-4G-AAZO	NUAK1	del
TCGA-4G-AAZO	CKAP4	del
TCGA-4G-AAZO	TCP11L2	del
TCGA-4G-AAZO	POLR3B	del
TCGA-4G-AAZO	RFX4	del
TCGA-4G-AAZO	RIC8B	del
TCGA-4G-AAZO	TMEM263	del
TCGA-4G-AAZO	MTERF2	del
TCGA-4G-AAZO	CRY1	del
TCGA-4G-AAZO	PWP1	del
TCGA-4G-AAZO	PRDM4	del
TCGA-4G-AAZO	ASCL4	del
TCGA-4G-AAZO	WSCD2	del
TCGA-4G-AAZO	CMKLR1	del
TCGA-4G-AAZO	FICD	del
TCGA-4G-AAZO	SART3	del
TCGA-4G-AAZO	ISCU	del
TCGA-4G-AAZO	TMEM119	del
TCGA-4G-AAZO	SELPLG	del
TCGA-4G-AAZO	CORO1C	del
TCGA-4G-AAZO	SSH1	del
TCGA-4G-AAZO	DAO	del
TCGA-4G-AAZO	SVOP	del
TCGA-4G-AAZO	USP30	del
TCGA-4G-AAZO	ALKBH2	del
TCGA-4G-AAZO	UNG	del
TCGA-4G-AAZO	ACACB	del
TCGA-4G-AAZO	FOXN4	del
TCGA-4G-AAZO	MYO1H	del
TCGA-4G-AAZO	KCTD10	del
TCGA-4G-AAZO	UBE3B	del
TCGA-4G-AAZO	MMAB	del
TCGA-4G-AAZO	MVK	del
TCGA-4G-AAZO	FAM222A	del
TCGA-4G-AAZO	TRPV4	del
TCGA-4G-AAZO	GLTP	del
TCGA-4G-AAZO	TCHP	del
TCGA-4G-AAZO	GIT2	del
TCGA-4G-AAZO	ANKRD13A	del
TCGA-4G-AAZO	C12orf76	del
TCGA-4G-AAZO	IFT81	del
TCGA-4G-AAZO	ATP2A2	del
TCGA-4G-AAZO	ANAPC7	del
TCGA-4G-AAZO	ARPC3	del
TCGA-4G-AAZO	GPN3	del
TCGA-4G-AAZO	FAM216A	del
TCGA-4G-AAZO	VPS29	del
TCGA-4G-AAZO	RAD9B	del
TCGA-4G-AAZO	PPTC7	del
TCGA-4G-AAZO	TCTN1	del
TCGA-4G-AAZO	HVCN1	del
TCGA-4G-AAZO	PPP1CC	del
TCGA-4G-AAZO	CCDC63	del
TCGA-4G-AAZO	MYL2	del
TCGA-4G-AAZO	CUX2	del
TCGA-4G-AAZO	PHETA1	del
TCGA-4G-AAZO	SH2B3	del
TCGA-4G-AAZO	ATXN2	del
TCGA-4G-AAZO	BRAP	del
TCGA-4G-AAZO	ACAD10	del
TCGA-4G-AAZO	ALDH2	del
TCGA-4G-AAZO	MAPKAPK5	del
TCGA-4G-AAZO	TMEM116	del
TCGA-4G-AAZO	ERP29	del
TCGA-4G-AAZO	NAA25	del
TCGA-4G-AAZO	TRAFD1	del
TCGA-4G-AAZO	HECTD4	del
TCGA-4G-AAZO	RPL6	del
TCGA-4G-AAZO	PTPN11	del
TCGA-4G-AAZO	RPH3A	del
TCGA-4G-AAZO	OAS1	del
TCGA-4G-AAZO	OAS3	del
TCGA-4G-AAZO	OAS2	del
TCGA-4G-AAZO	DTX1	del
TCGA-4G-AAZO	RASAL1	del
TCGA-4G-AAZO	CFAP73	del
TCGA-4G-AAZO	DDX54	del
TCGA-4G-AAZO	RITA1	del
TCGA-4G-AAZO	IQCD	del
TCGA-4G-AAZO	TPCN1	del
TCGA-4G-AAZO	SLC8B1	del
TCGA-4G-AAZO	PLBD2	del
TCGA-4G-AAZO	SDS	del
TCGA-4G-AAZO	SDSL	del
TCGA-4G-AAZO	LHX5	del
TCGA-4G-AAZO	RBM19	del
TCGA-4G-AAZO	TBX5	del
TCGA-4G-AAZO	TBX3	del
TCGA-4G-AAZO	MED13L	del
TCGA-4G-AAZO	MAP1LC3B2	del
TCGA-4G-AAZO	SPRING1	del
TCGA-4G-AAZO	RNFT2	del
TCGA-4G-AAZO	HRK	del
TCGA-4G-AAZO	FBXW8	del
TCGA-4G-AAZO	TESC	del
TCGA-4G-AAZO	FBXO21	del
TCGA-4G-AAZO	NOS1	del
TCGA-4G-AAZO	KSR2	del
TCGA-4G-AAZO	RFC5	del
TCGA-4G-AAZO	WSB2	del
TCGA-4G-AAZO	VSIG10	del
TCGA-4G-AAZO	PEBP1	del
TCGA-4G-AAZO	TAOK3	del
TCGA-4G-AAZO	SUDS3	del
TCGA-4G-AAZO	SRRM4	del
TCGA-4G-AAZO	HSPB8	del
TCGA-4G-AAZO	CCDC60	neutral
TCGA-4G-AAZO	TMEM233	neutral
TCGA-4G-AAZO	PRKAB1	neutral
TCGA-4G-AAZO	CIT	neutral
TCGA-4G-AAZO	BICDL1	neutral
TCGA-4G-AAZO	RAB35	neutral
TCGA-4G-AAZO	GCN1	neutral
TCGA-4G-AAZO	RPLP0	neutral
TCGA-4G-AAZO	PXN	neutral
TCGA-4G-AAZO	SIRT4	neutral
TCGA-4G-AAZO	PLA2G1B	neutral
TCGA-4G-AAZO	MSI1	neutral
TCGA-4G-AAZO	COX6A1	neutral
TCGA-4G-AAZO	TRIAP1	neutral
TCGA-4G-AAZO	GATC	neutral
TCGA-4G-AAZO	SRSF9	neutral
TCGA-4G-AAZO	DYNLL1	neutral
TCGA-4G-AAZO	COQ5	neutral
TCGA-4G-AAZO	RNF10	neutral
TCGA-4G-AAZO	POP5	neutral
TCGA-4G-AAZO	CABP1	neutral
TCGA-4G-AAZO	MLEC	neutral
TCGA-4G-AAZO	UNC119B	neutral
TCGA-4G-AAZO	ACADS	neutral
TCGA-4G-AAZO	SPPL3	neutral
TCGA-4G-AAZO	HNF1A	neutral
TCGA-4G-AAZO	C12orf43	neutral
TCGA-4G-AAZO	OASL	neutral
TCGA-4G-AAZO	P2RX7	neutral
TCGA-4G-AAZO	P2RX4	neutral
TCGA-4G-AAZO	CAMKK2	neutral
TCGA-4G-AAZO	ANAPC5	neutral
TCGA-4G-AAZO	RNF34	neutral
TCGA-4G-AAZO	KDM2B	neutral
TCGA-4G-AAZO	ORAI1	neutral
TCGA-4G-AAZO	MORN3	neutral
TCGA-4G-AAZO	TMEM120B	neutral
TCGA-4G-AAZO	RHOF	neutral
TCGA-4G-AAZO	SETD1B	neutral
TCGA-4G-AAZO	HPD	neutral
TCGA-4G-AAZO	PSMD9	neutral
TCGA-4G-AAZO	CFAP251	neutral
TCGA-4G-AAZO	BCL7A	neutral
TCGA-4G-AAZO	MLXIP	neutral
TCGA-4G-AAZO	LRRC43	neutral
TCGA-4G-AAZO	IL31	neutral
TCGA-4G-AAZO	B3GNT4	neutral
TCGA-4G-AAZO	DIABLO	neutral
TCGA-4G-AAZO	VPS33A	neutral
TCGA-4G-AAZO	CLIP1	neutral
TCGA-4G-AAZO	ZCCHC8	neutral
TCGA-4G-AAZO	RSRC2	neutral
TCGA-4G-AAZO	KNTC1	neutral
TCGA-4G-AAZO	HCAR2	neutral
TCGA-4G-AAZO	HCAR3	neutral
TCGA-4G-AAZO	HCAR1	neutral
TCGA-4G-AAZO	DENR	neutral
TCGA-4G-AAZO	CCDC62	neutral
TCGA-4G-AAZO	HIP1R	neutral
TCGA-4G-AAZO	VPS37B	neutral
TCGA-4G-AAZO	ABCB9	neutral
TCGA-4G-AAZO	OGFOD2	neutral
TCGA-4G-AAZO	ARL6IP4	neutral
TCGA-4G-AAZO	PITPNM2	neutral
TCGA-4G-AAZO	MPHOSPH9	neutral
TCGA-4G-AAZO	CDK2AP1	neutral
TCGA-4G-AAZO	SBNO1	neutral
TCGA-4G-AAZO	KMT5A	neutral
TCGA-4G-AAZO	RILPL2	neutral
TCGA-4G-AAZO	SNRNP35	neutral
TCGA-4G-AAZO	RILPL1	neutral
TCGA-4G-AAZO	TMED2	neutral
TCGA-4G-AAZO	DDX55	neutral
TCGA-4G-AAZO	EIF2B1	neutral
TCGA-4G-AAZO	GTF2H3	neutral
TCGA-4G-AAZO	TCTN2	neutral
TCGA-4G-AAZO	ATP6V0A2	neutral
TCGA-4G-AAZO	DNAH10	neutral
TCGA-4G-AAZO	CCDC92	neutral
TCGA-4G-AAZO	ZNF664	neutral
TCGA-4G-AAZO	RFLNA	neutral
TCGA-4G-AAZO	NCOR2	neutral
TCGA-4G-AAZO	SCARB1	neutral
TCGA-4G-AAZO	UBC	neutral
TCGA-4G-AAZO	DHX37	neutral
TCGA-4G-AAZO	BRI3BP	neutral
TCGA-4G-AAZO	AACS	neutral
TCGA-4G-AAZO	TMEM132B	neutral
TCGA-4G-AAZO	TMEM132C	neutral
TCGA-4G-AAZO	SLC15A4	neutral
TCGA-4G-AAZO	GLT1D1	neutral
TCGA-4G-AAZO	TMEM132D	neutral
TCGA-4G-AAZO	FZD10	neutral
TCGA-4G-AAZO	PIWIL1	neutral
TCGA-4G-AAZO	RIMBP2	neutral
TCGA-4G-AAZO	STX2	neutral
TCGA-4G-AAZO	RAN	neutral
TCGA-4G-AAZO	ADGRD1	neutral
TCGA-4G-AAZO	SFSWAP	neutral
TCGA-4G-AAZO	MMP17	neutral
TCGA-4G-AAZO	ULK1	neutral
TCGA-4G-AAZO	PUS1	neutral
TCGA-4G-AAZO	EP400	neutral
TCGA-4G-AAZO	DDX51	neutral
TCGA-4G-AAZO	NOC4L	neutral
TCGA-4G-AAZO	GALNT9	neutral
TCGA-4G-AAZO	FBRSL1	neutral
TCGA-4G-AAZO	LRCOL1	neutral
TCGA-4G-AAZO	P2RX2	neutral
TCGA-4G-AAZO	POLE	neutral
TCGA-4G-AAZO	PXMP2	neutral
TCGA-4G-AAZO	PGAM5	neutral
TCGA-4G-AAZO	ANKLE2	neutral
TCGA-4G-AAZO	GOLGA3	neutral
TCGA-4G-AAZO	CHFR	neutral
TCGA-4G-AAZO	ZNF605	neutral
TCGA-4G-AAZO	ZNF26	neutral
TCGA-4G-AAZO	ZNF84	neutral
TCGA-4G-AAZO	ZNF140	neutral
TCGA-4G-AAZO	ZNF891	neutral
TCGA-4G-AAZO	ZNF10	neutral
TCGA-4G-AAZO	ZNF268	neutral
TCGA-4G-AAZO	TUBA3C	neutral
TCGA-4G-AAZO	TPTE2	neutral
TCGA-4G-AAZO	MPHOSPH8	neutral
TCGA-4G-AAZO	PSPC1	neutral
TCGA-4G-AAZO	ZMYM5	neutral
TCGA-4G-AAZO	ZMYM2	neutral
TCGA-4G-AAZO	GJA3	neutral
TCGA-4G-AAZO	GJB2	neutral
TCGA-4G-AAZO	GJB6	neutral
TCGA-4G-AAZO	CRYL1	neutral
TCGA-4G-AAZO	IFT88	neutral
TCGA-4G-AAZO	IL17D	neutral
TCGA-4G-AAZO	EEF1AKMT1	neutral
TCGA-4G-AAZO	XPO4	neutral
TCGA-4G-AAZO	LATS2	neutral
TCGA-4G-AAZO	SAP18	neutral
TCGA-4G-AAZO	SKA3	neutral
TCGA-4G-AAZO	MRPL57	neutral
TCGA-4G-AAZO	ZDHHC20	neutral
TCGA-4G-AAZO	MICU2	neutral
TCGA-4G-AAZO	FGF9	neutral
TCGA-4G-AAZO	SGCG	neutral
TCGA-4G-AAZO	SACS	neutral
TCGA-4G-AAZO	TNFRSF19	neutral
TCGA-4G-AAZO	MIPEP	neutral
TCGA-4G-AAZO	C1QTNF9B	neutral
TCGA-4G-AAZO	SPATA13	neutral
TCGA-4G-AAZO	C1QTNF9	neutral
TCGA-4G-AAZO	PARP4	neutral
TCGA-4G-AAZO	ATP12A	neutral
TCGA-4G-AAZO	RNF17	neutral
TCGA-4G-AAZO	CENPJ	neutral
TCGA-4G-AAZO	PABPC3	neutral
TCGA-4G-AAZO	AMER2	neutral
TCGA-4G-AAZO	MTMR6	neutral
TCGA-4G-AAZO	NUP58	neutral
TCGA-4G-AAZO	ATP8A2	neutral
TCGA-4G-AAZO	SHISA2	neutral
TCGA-4G-AAZO	RNF6	neutral
TCGA-4G-AAZO	CDK8	neutral
TCGA-4G-AAZO	WASF3	neutral
TCGA-4G-AAZO	GPR12	neutral
TCGA-4G-AAZO	USP12	neutral
TCGA-4G-AAZO	RPL21	neutral
TCGA-4G-AAZO	RASL11A	neutral
TCGA-4G-AAZO	GTF3A	neutral
TCGA-4G-AAZO	MTIF3	neutral
TCGA-4G-AAZO	LNX2	neutral
TCGA-4G-AAZO	POLR1D	neutral
TCGA-4G-AAZO	GSX1	neutral
TCGA-4G-AAZO	PDX1	neutral
TCGA-4G-AAZO	CDX2	neutral
TCGA-4G-AAZO	URAD	neutral
TCGA-4G-AAZO	FLT3	neutral
TCGA-4G-AAZO	PAN3	neutral
TCGA-4G-AAZO	FLT1	neutral
TCGA-4G-AAZO	POMP	neutral
TCGA-4G-AAZO	SLC46A3	neutral
TCGA-4G-AAZO	MTUS2	neutral
TCGA-4G-AAZO	SLC7A1	neutral
TCGA-4G-AAZO	UBL3	neutral
TCGA-4G-AAZO	KATNAL1	neutral
TCGA-4G-AAZO	UBE2L5	neutral
TCGA-4G-AAZO	HMGB1	neutral
TCGA-4G-AAZO	USPL1	neutral
TCGA-4G-AAZO	ALOX5AP	neutral
TCGA-4G-AAZO	MEDAG	neutral
TCGA-4G-AAZO	TEX26	neutral
TCGA-4G-AAZO	HSPH1	neutral
TCGA-4G-AAZO	B3GLCT	neutral
TCGA-4G-AAZO	RXFP2	neutral
TCGA-4G-AAZO	FRY	neutral
TCGA-4G-AAZO	ZAR1L	neutral
TCGA-4G-AAZO	BRCA2	neutral
TCGA-4G-AAZO	N4BP2L1	neutral
TCGA-4G-AAZO	N4BP2L2	neutral
TCGA-4G-AAZO	PDS5B	neutral
TCGA-4G-AAZO	KL	neutral
TCGA-4G-AAZO	STARD13	neutral
TCGA-4G-AAZO	RFC3	neutral
TCGA-4G-AAZO	NBEA	neutral
TCGA-4G-AAZO	MAB21L1	neutral
TCGA-4G-AAZO	DCLK1	neutral
TCGA-4G-AAZO	SOHLH2	neutral
TCGA-4G-AAZO	CCDC169-SOHLH2	neutral
TCGA-4G-AAZO	CCDC169	neutral
TCGA-4G-AAZO	SPART	neutral
TCGA-4G-AAZO	CCNA1	neutral
TCGA-4G-AAZO	SERTM1	neutral
TCGA-4G-AAZO	RFXAP	neutral
TCGA-4G-AAZO	SMAD9	neutral
TCGA-4G-AAZO	ALG5	neutral
TCGA-4G-AAZO	EXOSC8	neutral
TCGA-4G-AAZO	SUPT20H	neutral
TCGA-4G-AAZO	CSNK1A1L	neutral
TCGA-4G-AAZO	POSTN	neutral
TCGA-4G-AAZO	TRPC4	neutral
TCGA-4G-AAZO	UFM1	neutral
TCGA-4G-AAZO	FREM2	neutral
TCGA-4G-AAZO	STOML3	neutral
TCGA-4G-AAZO	PROSER1	neutral
TCGA-4G-AAZO	NHLRC3	neutral
TCGA-4G-AAZO	LHFPL6	neutral
TCGA-4G-AAZO	COG6	neutral
TCGA-4G-AAZO	FOXO1	neutral
TCGA-4G-AAZO	MRPS31	neutral
TCGA-4G-AAZO	SLC25A15	neutral
TCGA-4G-AAZO	ELF1	neutral
TCGA-4G-AAZO	WBP4	neutral
TCGA-4G-AAZO	KBTBD6	neutral
TCGA-4G-AAZO	KBTBD7	neutral
TCGA-4G-AAZO	MTRF1	neutral
TCGA-4G-AAZO	NAA16	neutral
TCGA-4G-AAZO	RGCC	neutral
TCGA-4G-AAZO	VWA8	neutral
TCGA-4G-AAZO	DGKH	neutral
TCGA-4G-AAZO	AKAP11	neutral
TCGA-4G-AAZO	TNFSF11	neutral
TCGA-4G-AAZO	FAM216B	neutral
TCGA-4G-AAZO	EPSTI1	neutral
TCGA-4G-AAZO	DNAJC15	neutral
TCGA-4G-AAZO	ENOX1	neutral
TCGA-4G-AAZO	CCDC122	neutral
TCGA-4G-AAZO	LACC1	neutral
TCGA-4G-AAZO	SMIM2	neutral
TCGA-4G-AAZO	SERP2	neutral
TCGA-4G-AAZO	TSC22D1	neutral
TCGA-4G-AAZO	NUFIP1	neutral
TCGA-4G-AAZO	GPALPP1	neutral
TCGA-4G-AAZO	GTF2F2	neutral
TCGA-4G-AAZO	KCTD4	neutral
TCGA-4G-AAZO	TPT1	neutral
TCGA-4G-AAZO	SLC25A30	neutral
TCGA-4G-AAZO	COG3	neutral
TCGA-4G-AAZO	ERICH6B	neutral
TCGA-4G-AAZO	CBY2	neutral
TCGA-4G-AAZO	SIAH3	neutral
TCGA-4G-AAZO	ZC3H13	neutral
TCGA-4G-AAZO	CPB2	neutral
TCGA-4G-AAZO	LCP1	neutral
TCGA-4G-AAZO	LRRC63	neutral
TCGA-4G-AAZO	RUBCNL	neutral
TCGA-4G-AAZO	LRCH1	neutral
TCGA-4G-AAZO	ESD	neutral
TCGA-4G-AAZO	HTR2A	neutral
TCGA-4G-AAZO	SUCLA2	neutral
TCGA-4G-AAZO	NUDT15	neutral
TCGA-4G-AAZO	MED4	neutral
TCGA-4G-AAZO	ITM2B	neutral
TCGA-4G-AAZO	RB1	neutral
TCGA-4G-AAZO	LPAR6	neutral
TCGA-4G-AAZO	RCBTB2	neutral
TCGA-4G-AAZO	CYSLTR2	neutral
TCGA-4G-AAZO	FNDC3A	neutral
TCGA-4G-AAZO	MLNR	neutral
TCGA-4G-AAZO	CDADC1	neutral
TCGA-4G-AAZO	CAB39L	neutral
TCGA-4G-AAZO	SETDB2	neutral
TCGA-4G-AAZO	PHF11	neutral
TCGA-4G-AAZO	RCBTB1	neutral
TCGA-4G-AAZO	ARL11	neutral
TCGA-4G-AAZO	EBPL	neutral
TCGA-4G-AAZO	KPNA3	neutral
TCGA-4G-AAZO	SPRYD7	neutral
TCGA-4G-AAZO	TRIM13	neutral
TCGA-4G-AAZO	KCNRG	neutral
TCGA-4G-AAZO	DLEU7	neutral
TCGA-4G-AAZO	RNASEH2B	neutral
TCGA-4G-AAZO	C13orf42	neutral
TCGA-4G-AAZO	FAM124A	neutral
TCGA-4G-AAZO	SERPINE3	neutral
TCGA-4G-AAZO	INTS6	neutral
TCGA-4G-AAZO	WDFY2	neutral
TCGA-4G-AAZO	DHRS12	neutral
TCGA-4G-AAZO	TMEM272	neutral
TCGA-4G-AAZO	CCDC70	neutral
TCGA-4G-AAZO	ATP7B	neutral
TCGA-4G-AAZO	ALG11	neutral
TCGA-4G-AAZO	UTP14C	neutral
TCGA-4G-AAZO	NEK5	neutral
TCGA-4G-AAZO	NEK3	neutral
TCGA-4G-AAZO	THSD1	neutral
TCGA-4G-AAZO	VPS36	neutral
TCGA-4G-AAZO	CKAP2	neutral
TCGA-4G-AAZO	HNRNPA1L2	neutral
TCGA-4G-AAZO	SUGT1	neutral
TCGA-4G-AAZO	CNMD	neutral
TCGA-4G-AAZO	PCDH8	neutral
TCGA-4G-AAZO	OLFM4	neutral
TCGA-4G-AAZO	PRR20A	neutral
TCGA-4G-AAZO	PRR20C	neutral
TCGA-4G-AAZO	PRR20B	neutral
TCGA-4G-AAZO	PRR20D	neutral
TCGA-4G-AAZO	PRR20E	neutral
TCGA-4G-AAZO	PCDH17	neutral
TCGA-4G-AAZO	DIAPH3	neutral
TCGA-4G-AAZO	TDRD3	neutral
TCGA-4G-AAZO	PCDH20	neutral
TCGA-4G-AAZO	PCDH9	neutral
TCGA-4G-AAZO	KLHL1	neutral
TCGA-4G-AAZO	DACH1	neutral
TCGA-4G-AAZO	MZT1	neutral
TCGA-4G-AAZO	BORA	neutral
TCGA-4G-AAZO	DIS3	neutral
TCGA-4G-AAZO	PIBF1	neutral
TCGA-4G-AAZO	KLF5	neutral
TCGA-4G-AAZO	KLF12	neutral
TCGA-4G-AAZO	TBC1D4	neutral
TCGA-4G-AAZO	COMMD6	neutral
TCGA-4G-AAZO	UCHL3	neutral
TCGA-4G-AAZO	LMO7	neutral
TCGA-4G-AAZO	KCTD12	neutral
TCGA-4G-AAZO	ACOD1	neutral
TCGA-4G-AAZO	CLN5	neutral
TCGA-4G-AAZO	FBXL3	neutral
TCGA-4G-AAZO	MYCBP2	neutral
TCGA-4G-AAZO	SCEL	neutral
TCGA-4G-AAZO	SLAIN1	neutral
TCGA-4G-AAZO	EDNRB	neutral
TCGA-4G-AAZO	POU4F1	neutral
TCGA-4G-AAZO	OBI1	neutral
TCGA-4G-AAZO	RBM26	neutral
TCGA-4G-AAZO	NDFIP2	neutral
TCGA-4G-AAZO	SPRY2	neutral
TCGA-4G-AAZO	SLITRK1	neutral
TCGA-4G-AAZO	SLITRK6	neutral
TCGA-4G-AAZO	SLITRK5	neutral
TCGA-4G-AAZO	GPC5	neutral
TCGA-4G-AAZO	GPC6	neutral
TCGA-4G-AAZO	DCT	neutral
TCGA-4G-AAZO	TGDS	neutral
TCGA-4G-AAZO	GPR180	neutral
TCGA-4G-AAZO	SOX21	neutral
TCGA-4G-AAZO	ABCC4	neutral
TCGA-4G-AAZO	CLDN10	neutral
TCGA-4G-AAZO	DZIP1	neutral
TCGA-4G-AAZO	DNAJC3	neutral
TCGA-4G-AAZO	UGGT2	neutral
TCGA-4G-AAZO	HS6ST3	neutral
TCGA-4G-AAZO	OXGR1	neutral
TCGA-4G-AAZO	MBNL2	neutral
TCGA-4G-AAZO	RAP2A	neutral
TCGA-4G-AAZO	IPO5	neutral
TCGA-4G-AAZO	FARP1	neutral
TCGA-4G-AAZO	RNF113B	neutral
TCGA-4G-AAZO	STK24	neutral
TCGA-4G-AAZO	SLC15A1	neutral
TCGA-4G-AAZO	DOCK9	neutral
TCGA-4G-AAZO	UBAC2	neutral
TCGA-4G-AAZO	GPR18	neutral
TCGA-4G-AAZO	GPR183	neutral
TCGA-4G-AAZO	TM9SF2	neutral
TCGA-4G-AAZO	CLYBL	neutral
TCGA-4G-AAZO	ZIC5	neutral
TCGA-4G-AAZO	ZIC2	neutral
TCGA-4G-AAZO	PCCA	neutral
TCGA-4G-AAZO	GGACT	neutral
TCGA-4G-AAZO	TMTC4	neutral
TCGA-4G-AAZO	NALCN	neutral
TCGA-4G-AAZO	ITGBL1	neutral
TCGA-4G-AAZO	FGF14	neutral
TCGA-4G-AAZO	TPP2	neutral
TCGA-4G-AAZO	METTL21C	neutral
TCGA-4G-AAZO	CCDC168	neutral
TCGA-4G-AAZO	TEX30	neutral
TCGA-4G-AAZO	POGLUT2	neutral
TCGA-4G-AAZO	BIVM-ERCC5	neutral
TCGA-4G-AAZO	BIVM	neutral
TCGA-4G-AAZO	ERCC5	neutral
TCGA-4G-AAZO	METTL21EP	neutral
TCGA-4G-AAZO	SLC10A2	neutral
TCGA-4G-AAZO	DAOA	neutral
TCGA-4G-AAZO	EFNB2	neutral
TCGA-4G-AAZO	ARGLU1	neutral
TCGA-4G-AAZO	LIG4	neutral
TCGA-4G-AAZO	ABHD13	neutral
TCGA-4G-AAZO	TNFSF13B	neutral
TCGA-4G-AAZO	MYO16	neutral
TCGA-4G-AAZO	IRS2	neutral
TCGA-4G-AAZO	COL4A1	del
TCGA-4G-AAZO	COL4A2	del
TCGA-4G-AAZO	RAB20	del
TCGA-4G-AAZO	NAXD	del
TCGA-4G-AAZO	CARS2	del
TCGA-4G-AAZO	ING1	del
TCGA-4G-AAZO	ANKRD10	del
TCGA-4G-AAZO	ARHGEF7	del
TCGA-4G-AAZO	TEX29	del
TCGA-4G-AAZO	SOX1	del
TCGA-4G-AAZO	SPACA7	del
TCGA-4G-AAZO	TUBGCP3	del
TCGA-4G-AAZO	ATP11A	del
TCGA-4G-AAZO	MCF2L	del
TCGA-4G-AAZO	F7	del
TCGA-4G-AAZO	F10	del
TCGA-4G-AAZO	PROZ	del
TCGA-4G-AAZO	PCID2	del
TCGA-4G-AAZO	CUL4A	del
TCGA-4G-AAZO	LAMP1	del
TCGA-4G-AAZO	GRTP1	del
TCGA-4G-AAZO	ADPRHL1	del
