path_id	gene
pw.1563	MCM6
pw.1563	MCM5
pw.1563	MCM7
pw.1563	MCM2
pw.1563	MCM3
pw.2642	LIN9
pw.2642	H4C16
pw.2642	ECT2
pw.1866	HNRNPDL
pw.1866	IL12RB2
pw.1866	HNRNPA2B1
pw.735	NUP54
pw.735	NUP205
pw.686	GTF2F1
pw.686	RPL3L
pw.1211	EXOSC4
pw.1211	XRN1
pw.1211	NT5C3B
pw.444	PLAU
pw.1622	TAF1B
pw.1622	UBTF
pw.1622	H3-3B
pw.1622	H2AC8
pw.1114	GBA1
pw.1114	WRAP53
pw.185	KLB
pw.185	KLHL5
pw.185	RFC1
pw.2062	ABCC2
pw.2062	SLC16A1
pw.1716	CTR9
pw.1716	HLTF
pw.1716	PAF1
pw.195	TRAM1L1
pw.3059	MMUT
pw.3059	ALDH1B1
pw.3059	HADHA
pw.3059	PCCA
pw.3059	DLD
pw.3059	ACADS
pw.1551	COG2
pw.1551	COG7
pw.1551	GOLGA1
pw.1551	GCC1
pw.1551	COG3
pw.1551	STX6
pw.1551	TMF1
pw.1551	RIC1
pw.2698.tgs	RAC1
pw.2310.tgs	AKT1
pw.2310.tgs	CDK8
pw.2753.tgs	SMAD2
pw.2499.tgs	CUL3
pw.3294.tgs	JUN
pw.3294.tgs	PIK3R2
pw.1900.tgs	RAD50
pw.1900.tgs	RAD51
pw.1900.tgs	CDK4
pw.1364.tgs	CTCF
pw.1364.tgs	SUZ12
pw.2808.tgs	CCND1
pw.457.tgs	BCL2L11
pw.457.tgs	XIAP
pw.457.tgs	AKT2
pw.2179.tgs	SMAD3
pw.1052.tgs	CHEK2
pw.1052.tgs	AURKB
pw.1052.tgs	MDM4
pw.11.tgs	SDHB
pw.2237.tgs	RPS6KB2
pw.2146.tgs	MAX
pw.1438.tgs	VHL
pw.1438.tgs	PARP1
pw.1438.tgs	PRKAR1A
pw.1438.tgs	IKBKE
pw.1438.tgs	IL10
pw.1455.tgs	FGF19
pw.1320	NGLY1
pw.1320	VCP
pw.1320	EDEM2
pw.167	RARB
pw.167	KAT2B
pw.167	SGO1
pw.3070	PGD
pw.3070	TXNDC12
pw.3070	MGST1
pw.1121	MLYCD
pw.1121	PECR
pw.1121	ACOX2
pw.1121	HSD17B4
pw.1121	EHHADH
pw.1121	ACOXL
pw.1121	AMACR
pw.1563	CCNA1
pw.1563	ORC1
pw.1563	ORC4
pw.1563	ORC2
pw.1563	CCNA2
pw.1563	CDT1
pw.1563	PSME4
pw.1563	CDC6
pw.1563	PSMD1
pw.2642	MYBL2
pw.2642	E2F7
pw.2642	TPX2
pw.1866	CAPZA1
pw.1866	IFNG
pw.1866	LMNB1
pw.1866	IL12B
pw.1866	P4HB
pw.1866	LCP1
pw.735	NUP153
pw.735	SEH1L
pw.686	HSP90AA1
pw.1211	PAN2
pw.1211	TNKS1BP1
pw.1211	CNOT2
pw.1211	TUT7
pw.1211	SKIC8
pw.1211	CNOT11
pw.1211	LSM1
pw.1211	CNOT3
pw.1211	CNOT4
pw.1211	DCP2
pw.1211	EXOSC1
pw.444	ITGA4
pw.444	VCAM1
pw.444	ITGB6
pw.444	MADCAM1
pw.1622	H3C11
pw.1622	H3C12
pw.1622	POLR1F
pw.1114	XRN2
pw.1114	USP11
pw.1114	KIFC3
pw.1114	HDAC3
pw.1114	CCT2
pw.1114	CCT6B
pw.1114	FBXW5
pw.1114	STAT3
pw.1114	CCT6A
pw.1114	GAPDHS
pw.1114	FBXW10
pw.185	TBC1D1
pw.185	C4orf19
pw.185	TLR1
pw.185	KLF3
pw.185	LIAS
pw.185	PGM2
pw.2062	ACSM5
pw.2062	CYP2C19
pw.1716	SHPRH
pw.1716	PEX5
pw.3365	TGFB3
pw.3365	ZFYVE9
pw.3365	SKIL
pw.3365	CAMK2A
pw.3365	BAMBI
pw.195	PRSS12
pw.195	UGT8
pw.195	PDE5A
pw.195	SEC24D
pw.195	MYOZ2
pw.3059	HMGCL
pw.3059	ALDH9A1
pw.3059	HADH
pw.3059	IVD
pw.1551	PLIN3
pw.1551	COG6
pw.1551	VPS54
pw.1551	COG4
pw.1551	COG5
pw.1551	NSF
pw.2753.tgs	MAPK1
pw.164.tgs	RHOA
pw.3294.tgs	MAP2K2
pw.1900.tgs	H3C2
pw.1900.tgs	H2BC5
pw.1364.tgs	EED
pw.2808.tgs	PAK1
pw.457.tgs	BBC3
pw.2179.tgs	CDKN1A
pw.2179.tgs	REL
pw.1052.tgs	RAD51D
pw.1052.tgs	CHEK1
pw.1438.tgs	YES1
pw.1438.tgs	TMPRSS2
pw.1455.tgs	FGF4
pw.1320	PRKCSH
pw.1320	UBXN1
pw.1320	PDIA3
pw.1320	CANX
pw.1320	RNF139
pw.1320	SYVN1
pw.1320	CALR
