variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A
APC,ARID1A,282.933165566583,450.868871783256,0.001,2609.54902122538,0.926390078558776,0.752112687298126,0.429391847985603,2.38669296174453,0.918231503683271,2.59922792037832,274.614378288737,465.206457645925,13,52,2,863,930,162.811762215312,451.235815559561,339.149740003895,584.792263433288,,2373.6642257058,424.294896875845,8581.36856100509
APC,ARID1B,276.983905614998,261.979269054167,0.001,0.001,0.879626447309271,0.894541726259426,0.786867393744775,9.33446315225933e-07,0.24562146633863,3.80034501519922e-06,274.614378288847,259.891264914272,15,14,0,901,930,159.389856914354,441.739340374143,147.587536299832,424.152707844038,,4260.96833135992,,4603.05946875861
APC,ARID2,277.043551075618,314.062796500884,0.001,14302.9355635649,0.9759929256095,0.493470611390667,0.000333807380461156,4.59492201271632,0.322133845240244,14.2640150378781,274.614378287381,395.723262511885,11,15,4,900,930,159.425713536868,441.836969963536,180.727600599251,500.87101615129,,9273.79167002773,4241.84651005381,36895.311169094
APC,ATM,279.410352583781,445.668380062531,0.001,2048.74940846709,0.962555828423213,0.899444516527785,0.747420042545302,1.18031223020353,0.544424062512564,2.16800158456678,274.614378288408,457.220745010633,14,30,1,885,930,160.784472852675,445.609730441268,304.612431320595,624.729958925956,,3506.37526669029,115.50237487739,9456.06447068897
APC,BAP1,282.297338929129,585.12829658945,0.001,1598.1447904944,0.964066779927541,0.946218079341148,0.926231891271431,1.09092427718666,0.819100209919172,1.33185691320273,274.614378288375,592.996955517858,14,47,1,868,930,162.445562406128,450.221415554444,433.374785082105,768.756501417801,,2245.11316774053,90.1321655380153,7364.59597341727
APC,BRAF,279.903795290997,1732.76364227483,0.001,15451.932082265,0.961845539069287,0.761890138591961,0.245399732411489,2.30221438460163,0.592762786480583,3.88387131768274,274.614378288852,1825.88653420798,13,33,2,882,930,161.069396850016,446.398813408763,1206.77576017801,2393.09499898698,,3754.94527949459,2513.77329722156,50732.0467517
APC,BRCA2,277.239135110134,383.376850204815,0.001,19399.0554458077,0.954409556407973,0.282312220888859,0.000231707724538618,4.46155914461145,0.288080871188985,15.4871759662397,274.61437828834,498.591654501171,11,13,4,902,930,159.537224964292,442.148911888965,210.8992416379,631.14619494153,,7764.91481764463,5764.05285161101,49801.9078734553
APC,ERBB2,276.682089788529,421.657699069373,0.001,5506.22922867019,0.974700782208037,0.752994457229193,0.364019473371217,1.11112808508006,0.194029334276909,5.72659845080079,274.614378289003,460.470638183965,14,10,1,905,930,159.194408961242,441.197946264502,211.304929974311,739.652072662192,,8264.24235005659,310.529777725358,25437.5644475696
APC,ERBB3,266.850884426467,773.467402070405,0.001,20919.142847246,0.953944538263111,0.468402742625273,0.0410035927418689,2.23137164568151,0.217769992593587,10.2464605848879,264.22169662925,908.259667906261,11,11,2,811,835,146.794379494721,439.312942658784,401.625756869605,1324.70563525012,,7314.29752364571,3386.14372789317,69774.4274297708
APC,ERBB4,276.714582358816,142.509989749379,0.001,1378.10221112757,0.991679702649086,0.95896056194477,0.469751420446014,1.17188967280666,0.270944623274729,4.32519995651804,274.614378289716,151.584124952909,14,14,1,901,930,159.235235471068,441.309071057189,80.2839367605509,230.728064860052,,8322.16696530793,77.6393717801558,6379.42971434538
APC,FBXW7,277.105869155089,536.413613537364,0.001,5470.21030814604,0.96720492943545,0.788350884487725,0.439808784348623,1.15695367443201,0.254364966686165,4.54840023571115,274.61437828762,573.446403735463,14,13,1,902,930,159.463329290158,441.94397451774,295.090309295328,883.109421805475,,6591.93671381286,308.127372030534,25387.9171722408
APC,FGFR2,278.37202533984,785.218762660295,0.001,4319.51639161699,0.989468511931256,0.939841450198144,0.689098816786169,1.14021791744058,0.442396750590349,2.57736503696973,274.614378289003,810.870493143649,14,25,1,890,930,160.189040430697,443.954916946602,516.243118957431,1134.504774481,,4548.05221585102,243.616982502267,19901.8071038857
